"timestamp per 30 minutes","Display requests"
"12:00",307
"12:30",296
"13:00",282
"13:30",310
"14:00",305
"14:30",362
"15:00",442
"15:30",398
"16:00",401
"16:30",342
"17:00",319
"17:30",383
"18:00",355
"18:30",262
"19:00",343
"19:30",305
"20:00",302
"20:30",340
"21:00",348
"21:30",339
"22:00",428
"22:30",746
"23:00","1,115"
"23:30",915
"00:00",576
"00:30",405
"01:00",201
"01:30",141
"02:00",95
"02:30",62
"03:00",48
"03:30",66
"04:00",63
"04:30",55
"05:00",102
"05:30",136
"06:00",247
"06:30",275
"07:00",434
"07:30",419
"08:00",402
"08:30",391
"09:00",505
"09:30",468
"10:00",464
"10:30",411
"11:00",373
"11:30",383
"12:00",101
