"timestamp per 30 minutes","Fallback rate"
"12:00","7.97%"
"12:30","7.66%"
"13:00","9.54%"
"13:30","8.33%"
"14:00","7.56%"
"14:30","5.92%"
"15:00","7.66%"
"15:30","7.77%"
"16:00","9.25%"
"16:30","8.61%"
"17:00","8.65%"
"17:30","9.92%"
"18:00","8.13%"
"18:30","8.32%"
"19:00","8.11%"
"19:30","8.30%"
"20:00","9.67%"
"20:30","9.01%"
"21:00","9.31%"
"21:30","6.92%"
"22:00","7.84%"
"22:30","11.03%"
"23:00","18.35%"
"23:30","17.03%"
"00:00","17.82%"
"00:30","17.07%"
"01:00","8.78%"
"01:30","12.90%"
"02:00","11.28%"
"02:30","7.24%"
"03:00","7.44%"
"03:30","13.01%"
"04:00","10.71%"
"04:30","6.62%"
"05:00","14.47%"
"05:30","10.51%"
"06:00","10.00%"
"06:30","7.17%"
"07:00","12.69%"
"07:30","10.89%"
"08:00","7.46%"
"08:30","10.25%"
"09:00","13.28%"
"09:30","15.15%"
"10:00","12.23%"
"10:30","6.78%"
"11:00","6.56%"
"11:30","7.10%"
"12:00","5.44%"
