"Top 3 values of gexp-intext-request-type","timestamp per 30 minutes","Count of records"
video,"12:00",562
video,"12:30",499
video,"13:00",556
video,"13:30",574
video,"14:00",737
video,"14:30",898
video,"15:00",843
video,"15:30",801
video,"16:00",702
video,"16:30",616
video,"17:00",689
video,"17:30",646
video,"18:00",658
video,"18:30",599
video,"19:00",643
video,"19:30",596
video,"20:00",593
video,"20:30",713
video,"21:00",666
video,"21:30",710
video,"22:00","1,067"
video,"22:30","1,284"
video,"23:00","1,671"
video,"23:30","1,238"
video,"00:00",848
video,"00:30",548
video,"01:00",353
video,"01:30",230
video,"02:00",161
video,"02:30",89
video,"03:00",72
video,"03:30",79
video,"04:00",76
video,"04:30",96
video,"05:00",126
video,"05:30",212
video,"06:00",339
video,"06:30",499
video,"07:00",637
video,"07:30",765
video,"08:00",822
video,"08:30",723
video,"09:00",725
video,"09:30",752
video,"10:00",807
video,"10:30",788
video,"11:00",756
video,"11:30",720
video,"12:00",254
display,"12:00",307
display,"12:30",296
display,"13:00",282
display,"13:30",310
display,"14:00",305
display,"14:30",362
display,"15:00",442
display,"15:30",398
display,"16:00",401
display,"16:30",342
display,"17:00",319
display,"17:30",383
display,"18:00",355
display,"18:30",262
display,"19:00",343
display,"19:30",305
display,"20:00",302
display,"20:30",340
display,"21:00",348
display,"21:30",339
display,"22:00",428
display,"22:30",746
display,"23:00","1,115"
display,"23:30",915
display,"00:00",576
display,"00:30",405
display,"01:00",201
display,"01:30",141
display,"02:00",95
display,"02:30",62
display,"03:00",48
display,"03:30",66
display,"04:00",63
display,"04:30",55
display,"05:00",102
display,"05:30",136
display,"06:00",247
display,"06:30",275
display,"07:00",434
display,"07:30",419
display,"08:00",402
display,"08:30",391
display,"09:00",505
display,"09:30",468
display,"10:00",464
display,"10:30",411
display,"11:00",373
display,"11:30",383
display,"12:00",105
