"timestamp per 30 minutes","Refresh rate"
"12:00","10.36%"
"12:30","12.36%"
"13:00","9.07%"
"13:30","8.89%"
"14:00","6.90%"
"14:30","8.33%"
"15:00","9.72%"
"15:30","8.67%"
"16:00","9.61%"
"16:30","10.04%"
"17:00","8.45%"
"17:30","8.78%"
"18:00","8.52%"
"18:30","6.73%"
"19:00","10.88%"
"19:30","8.08%"
"20:00","9.34%"
"20:30","8.27%"
"21:00","9.50%"
"21:30","9.92%"
"22:00","6.26%"
"22:30","9.04%"
"23:00","10.13%"
"23:30","12.03%"
"00:00","9.57%"
"00:30","11.97%"
"01:00","14.70%"
"01:30","10.48%"
"02:00","12.84%"
"02:30","15.13%"
"03:00","10.74%"
"03:30","15.07%"
"04:00","11.43%"
"04:30","12.58%"
"05:00","15.35%"
"05:30","14.20%"
"06:00","18.14%"
"06:30","14.34%"
"07:00","12.69%"
"07:30","11.89%"
"08:00","9.48%"
"08:30","10.78%"
"09:00","13.52%"
"09:30","10.94%"
"10:00","12.46%"
"10:30","12.56%"
"11:00","10.84%"
"11:30","9.61%"
"12:00","8.16%"
