"timestamp per 30 minutes","Count of records"
"12:00",874
"12:30",809
"13:00",844
"13:30",897
"14:00","1,058"
"14:30","1,284"
"15:00","1,306"
"15:30","1,222"
"16:00","1,124"
"16:30",976
"17:00","1,041"
"17:30","1,047"
"18:00","1,033"
"18:30",877
"19:00","1,011"
"19:30",911
"20:00",910
"20:30","1,076"
"21:00","1,042"
"21:30","1,066"
"22:00","1,517"
"22:30","2,058"
"23:00","2,832"
"23:30","2,178"
"00:00","1,431"
"00:30",961
"01:00",558
"01:30",372
"02:00",257
"02:30",152
"03:00",121
"03:30",146
"04:00",140
"04:30",151
"05:00",228
"05:30",352
"06:00",590
"06:30",781
"07:00","1,080"
"07:30","1,194"
"08:00","1,234"
"08:30","1,122"
"09:00","1,250"
"09:30","1,234"
"10:00","1,284"
"10:30","1,208"
"11:00","1,144"
"11:30","1,113"
"12:00",331
