"timestamp per 30 minutes","Display requests","Video requests","Total request"
"12:00",307,562,869
"12:30",296,499,795
"13:00",282,556,838
"13:30",310,574,884
"14:00",305,737,"1,042"
"14:30",362,898,"1,260"
"15:00",442,843,"1,285"
"15:30",398,801,"1,199"
"16:00",401,702,"1,103"
"16:30",342,616,958
"17:00",319,689,"1,008"
"17:30",383,646,"1,029"
"18:00",355,658,"1,013"
"18:30",262,599,861
"19:00",343,643,986
"19:30",305,596,901
"20:00",302,593,895
"20:30",340,713,"1,053"
"21:00",348,666,"1,014"
"21:30",339,710,"1,049"
"22:00",428,"1,067","1,495"
"22:30",746,"1,284","2,030"
"23:00","1,115","1,671","2,786"
"23:30",915,"1,238","2,153"
"00:00",576,848,"1,424"
"00:30",405,548,953
"01:00",201,353,554
"01:30",141,230,371
"02:00",95,161,256
"02:30",62,89,151
"03:00",48,72,120
"03:30",66,79,145
"04:00",63,76,139
"04:30",55,96,151
"05:00",102,126,228
"05:30",136,212,348
"06:00",247,339,586
"06:30",275,499,774
"07:00",434,637,"1,071"
"07:30",419,765,"1,184"
"08:00",402,822,"1,224"
"08:30",391,723,"1,114"
"09:00",505,725,"1,230"
"09:30",468,752,"1,220"
"10:00",464,807,"1,271"
"10:30",411,788,"1,199"
"11:00",373,756,"1,129"
"11:30",383,720,"1,103"
"12:00",101,226,327
