"timestamp per 30 minutes","Display requests"
"12:00",562
"12:30",499
"13:00",556
"13:30",574
"14:00",737
"14:30",898
"15:00",843
"15:30",801
"16:00",702
"16:30",616
"17:00",689
"17:30",646
"18:00",658
"18:30",599
"19:00",643
"19:30",596
"20:00",593
"20:30",713
"21:00",666
"21:30",710
"22:00","1,067"
"22:30","1,284"
"23:00","1,671"
"23:30","1,238"
"00:00",848
"00:30",548
"01:00",353
"01:30",230
"02:00",161
"02:30",89
"03:00",72
"03:30",79
"04:00",76
"04:30",96
"05:00",126
"05:30",212
"06:00",339
"06:30",499
"07:00",637
"07:30",765
"08:00",822
"08:30",723
"09:00",725
"09:30",752
"10:00",807
"10:30",788
"11:00",756
"11:30",720
"12:00",226
