"timestamp per 30 minutes","Video failed rate timeline"
"12:00","10.14%"
"12:30","10.02%"
"13:00","12.59%"
"13:30","12.20%"
"14:00","8.68%"
"14:30","8.02%"
"15:00","9.96%"
"15:30","10.36%"
"16:00","12.25%"
"16:30","10.88%"
"17:00","10.74%"
"17:30","11.30%"
"18:00","12.01%"
"18:30","8.85%"
"19:00","9.49%"
"19:30","10.91%"
"20:00","9.95%"
"20:30","10.94%"
"21:00","11.56%"
"21:30","9.15%"
"22:00","9.65%"
"22:30","15.11%"
"23:00","26.69%"
"23:30","24.72%"
"00:00","26.18%"
"00:30","25.73%"
"01:00","13.03%"
"01:30","16.52%"
"02:00","13.66%"
"02:30","12.36%"
"03:00","12.50%"
"03:30","10.13%"
"04:00","17.11%"
"04:30","10.42%"
"05:00","23.81%"
"05:30","15.57%"
"06:00","14.16%"
"06:30","10.42%"
"07:00","17.43%"
"07:30","13.20%"
"08:00","9.85%"
"08:30","12.86%"
"09:00","17.38%"
"09:30","19.55%"
"10:00","14.13%"
"10:30","9.64%"
"11:00","8.60%"
"11:30","9.58%"
"12:00","6.30%"
