"timestamp per 30 minutes","Video failed rate"
"12:00","10%"
"12:30","10%"
"13:00","13%"
"13:30","12%"
"14:00","9%"
"14:30","8%"
"15:00","10%"
"15:30","10%"
"16:00","12%"
"16:30","11%"
"17:00","11%"
"17:30","11%"
"18:00","12%"
"18:30","9%"
"19:00","9%"
"19:30","11%"
"20:00","10%"
"20:30","11%"
"21:00","12%"
"21:30","9%"
"22:00","10%"
"22:30","15%"
"23:00","27%"
"23:30","25%"
"00:00","26%"
"00:30","26%"
"01:00","13%"
"01:30","17%"
"02:00","14%"
"02:30","12%"
"03:00","13%"
"03:30","10%"
"04:00","17%"
"04:30","10%"
"05:00","24%"
"05:30","16%"
"06:00","14%"
"06:30","10%"
"07:00","17%"
"07:30","13%"
"08:00","10%"
"08:30","13%"
"09:00","17%"
"09:30","20%"
"10:00","14%"
"10:30","10%"
"11:00","9%"
"11:30","10%"
"12:00","7%"
