"timestamp per 30 minutes","Viewable ≥ 1s"
"12:00","26.31%"
"12:30","24.97%"
"13:00","22.97%"
"13:30","22.44%"
"14:00","22.02%"
"14:30","21.50%"
"15:00","22.82%"
"15:30","25.04%"
"16:00","23.58%"
"16:30","25.00%"
"17:00","25.94%"
"17:30","23.00%"
"18:00","26.52%"
"18:30","24.17%"
"19:00","23.64%"
"19:30","23.91%"
"20:00","27.47%"
"20:30","28.07%"
"21:00","26.78%"
"21:30","26.57%"
"22:00","35.20%"
"22:30","29.30%"
"23:00","27.91%"
"23:30","25.44%"
"00:00","26.42%"
"00:30","27.99%"
"01:00","34.05%"
"01:30","33.60%"
"02:00","31.52%"
"02:30","28.29%"
"03:00","29.75%"
"03:30","23.29%"
"04:00","22.86%"
"04:30","29.80%"
"05:00","25.00%"
"05:30","32.10%"
"06:00","27.46%"
"06:30","28.04%"
"07:00","26.48%"
"07:30","23.62%"
"08:00","26.74%"
"08:30","24.42%"
"09:00","25.52%"
"09:30","26.90%"
"10:00","24.22%"
"10:30","30.58%"
"11:00","26.66%"
"11:30","28.75%"
"12:00","24.73%"
