"Top 10 values of gexp-intext-position","timestamp per 30 minutes","Count of records"
"gexp-intext","12:00",703
"gexp-intext","12:30",629
"gexp-intext","13:00",685
"gexp-intext","13:30",725
"gexp-intext","14:00",895
"gexp-intext","14:30","1,078"
"gexp-intext","15:00","1,075"
"gexp-intext","15:30","1,000"
"gexp-intext","16:00",902
"gexp-intext","16:30",774
"gexp-intext","17:00",825
"gexp-intext","17:30",833
"gexp-intext","18:00",800
"gexp-intext","18:30",726
"gexp-intext","19:00",783
"gexp-intext","19:30",721
"gexp-intext","20:00",734
"gexp-intext","20:30",872
"gexp-intext","21:00",820
"gexp-intext","21:30",861
"gexp-intext","22:00","1,265"
"gexp-intext","22:30","1,639"
"gexp-intext","23:00","2,391"
"gexp-intext","23:30","1,761"
"gexp-intext","00:00","1,200"
"gexp-intext","00:30",801
"gexp-intext","01:00",472
"gexp-intext","01:30",305
"gexp-intext","02:00",217
"gexp-intext","02:30",121
"gexp-intext","03:00",100
"gexp-intext","03:30",124
"gexp-intext","04:00",125
"gexp-intext","04:30",135
"gexp-intext","05:00",206
"gexp-intext","05:30",295
"gexp-intext","06:00",514
"gexp-intext","06:30",683
"gexp-intext","07:00",951
"gexp-intext","07:30","1,050"
"gexp-intext","08:00","1,029"
"gexp-intext","08:30",942
"gexp-intext","09:00","1,069"
"gexp-intext","09:30","1,099"
"gexp-intext","10:00","1,120"
"gexp-intext","10:30","1,032"
"gexp-intext","11:00",989
"gexp-intext","11:30",914
"gexp-intext","12:00",311
"gexp-intext-2","12:00",171
"gexp-intext-2","12:30",180
"gexp-intext-2","13:00",159
"gexp-intext-2","13:30",172
"gexp-intext-2","14:00",162
"gexp-intext-2","14:30",206
"gexp-intext-2","15:00",231
"gexp-intext-2","15:30",222
"gexp-intext-2","16:00",222
"gexp-intext-2","16:30",202
"gexp-intext-2","17:00",216
"gexp-intext-2","17:30",214
"gexp-intext-2","18:00",231
"gexp-intext-2","18:30",151
"gexp-intext-2","19:00",228
"gexp-intext-2","19:30",190
"gexp-intext-2","20:00",176
"gexp-intext-2","20:30",203
"gexp-intext-2","21:00",222
"gexp-intext-2","21:30",205
"gexp-intext-2","22:00",251
"gexp-intext-2","22:30",419
"gexp-intext-2","23:00",441
"gexp-intext-2","23:30",417
"gexp-intext-2","00:00",231
"gexp-intext-2","00:30",160
